"customer_key","name","gender","birth_date","address","city","region","phone","email","status"
48,Денисова А.Е.,м,1967-07-12,"Перекопская Ул., дом 10, кв. 309, Нижний Новгород, Нижегородская область",Нижний Новгород,Нижегородская область,9394618246,amvrosi52@rambler.ru,Активен
49,Люлько С.А.,м,1988-11-29,"Краснореченская Ул., дом 173, кв. 47, Хабаровск, Хабаровский край",Хабаровск,Хабаровский край,9009532932,julianefremov@rao.ru,Активен
50,Еремина А.Н.,м,1983-10-01,"Энгельса Б-Р, дом 2, кв. 152, Волгоград, Волгоградская область",Волгоград,Волгоградская область,9052125859,ljubosmislbikov@hotmail.com,Активен
51,Беньковская Е.А.,м,1970-08-21,"Саратовский Пер., дом 2, кв. 63, Хабаровск, Хабаровский край",Хабаровск,Хабаровский край,9149049456,tsharapov@akron.org,Активен
52,Рудковский К.В.,ж,1965-04-22,"Падун / 25-Летия Братскгэсстроя Ул., дом 61, кв. 4, Братск, Иркутская область",Братск,Иркутская область,9035441016,andronodintsov@yandex.ru,Активен
53,Волкова Т.М.,м,1985-01-12,"Набережная, дом 17, кв. 68, Чебоксары, Республика Чувашия",Чебоксары,Республика Чувашия,9472946142,taras17@ao.com,Активен
54,Загоскина О.В.,м,1964-10-06,"Новосадовая Ул., дом 42, кв. 714, Самара, Самарская область",Самара,Самарская область,9228573357,fominmefodi@gmail.com,Активен
55,Кошенков В.Г.,ж,1958-10-09,"Ефремова Ул., дом 18, кв. 21, Москва, Московская область",Москва,Московская область,9500124698,viktor_1997@ip.org,Активен
56,Дудин Г.Н.,м,1994-02-07,"Черняховского Ул., дом 41/А, кв. 28, Екатеринбург, Свердловская область",Екатеринбург,Свердловская область,9546105658,elizaveta_89@surgutneftegaz.net,Активен
57,Полоумов А.М.,ж,1977-06-29,"Водников П.антипино, дом 8, кв. 3, Тюмень, Тюменская область",Тюмень,Тюменская область,9053690349,veselovmaksim@tmk.com,Активен
58,Перевалов А.Ю.,ж,1974-11-02,"Возрождения Ул., дом 14, кв. 136, Братск, Иркутская область",Братск,Иркутская область,9333016167,pahomovlavr@yandex.ru,Активен
59,Сандалина И.Н.,м,1992-02-05,"Лесной Городок Ул., дом 5, кв. 155, Нижний Новгород, Нижегородская область",Нижний Новгород,Нижегородская область,9536892095,antonin_1978@rao.biz,Активен
60,Сиятская А.А.,ж,1962-08-24,"Гагарина 3 Микрорайон, дом 18, кв. 65, Златоуст, Челябинская область",Златоуст,Челябинская область,9773428347,noskovernst@mail.ru,Активен
61,Максимова О.А.,ж,1973-07-05,"Пирогова Ул., дом 48/2, кв. 132, Ставрополь, Ставропольский край",Ставрополь,Ставропольский край,9445736747,radim89@vo.edu,Активен
62,Борисюк В.М.,м,1968-09-12,"Пр Кузнецкий, дом 133/Б, кв. 42, Кемерово, Кемеровская область",Кемерово,Кемеровская область,9773555001,rjurik76@mail.ru,Активен
63,Молодцова И.В.,ж,1996-09-29,"Тихомирова Ул., дом 17/К. 2, кв. 132, Москва, Московская область",Москва,Московская область,9268603328,agge1970@yandex.ru,Активен
64,Батова О.М.,ж,1987-04-20,"Московское Шоссе, дом 25, кв. 83, Нижний Новгород, Нижегородская область",Нижний Новгород,Нижегородская область,9000146032,kazimir_74@rambler.ru,Активен
65,Кузнецова Л.И.,м,1994-12-30,"Лермонтова Ул., дом 31, кв. 62, Хабаровск, Хабаровский край",Хабаровск,Хабаровский край,9027904687,simonsemenov@mail.ru,Активен
66,Черемпеев В.В.,ж,1972-04-21,"Щорса Ул., дом 69, кв. 77, Красноярск, Красноярский край",Красноярск,Красноярский край,9254703111,kornilovanani@gmail.com,Активен
67,Калинина З.А.,ж,1983-02-04,"Руднева Ул., дом 61/А, Волгоград, Волгоградская область",Волгоград,Волгоградская область,9214789384,evpraksija12@yandex.ru,Активен
68,Лапаева А.Д.,м,1965-11-05,"Зорге Р. Ул., дом 107, кв. 94, Казань, Республика Татарстан",Казань,Республика Татарстан,9156348436,panovaija@gmail.com,Не активен
69,Асеев В.Е.,м,1977-03-22,"Богдана Хмельницкого, дом 92/1, кв. 41, Уфа, Республика Башкортостан",Уфа,Республика Башкортостан,9750488759,loginovaanzhelika@zao.org,Активен
70,Мосунова Е.Ю.,ж,1968-01-30,"Луначарского Пр., дом 33/21, кв. 70, Санкт-Петербург, Ленинградская область",Санкт-Петербург,Ленинградская область,9656123738,semenovaninel@oao.biz,Активен
71,Безгодков Н.А.,ж,1989-12-29,"50-Летия Влксм Ул., дом 8/А/1, кв. 35, Ставрополь, Ставропольский край",Ставрополь,Ставропольский край,9190216609,lazar_1989@resurs.net,Активен
72,Цыплина В.Г.,м,1994-10-12,"Красноуральская Ул., дом 6, кв. 114, Екатеринбург, Свердловская область",Екатеринбург,Свердловская область,9765209837,juri30@bespalov.info,Активен
73,Ольховец Г.С.,ж,1973-09-13,"Кирова Ул., дом 34/А, кв. 3, Смоленск, Смоленская область",Смоленск,Смоленская область,9191850232,solovevafaina@oao.net,Активен
74,Катаранчук Г.И.,м,1987-07-15,"Бурова-Петрова, дом 60, кв. 127, Курган, Курганская область",Курган,Курганская область,9436368654,lavrentevatamara@yandex.ru,Активен
75,Сабаев А.В.,ж,1984-06-01,"Кутузовская Ул., дом 1, кв. 93, Волгоград, Волгоградская область",Волгоград,Волгоградская область,9183357031,evdokimmakarov@npo.biz,Активен
76,Распопова Т.В.,м,1988-02-21,"Холодильная, дом 55, кв. 18, Тюмень, Тюменская область",Тюмень,Тюменская область,9393140686,bribakova@hotmail.com,Активен
77,Щербаков Ф.Т.,м,1982-07-23,"Международная, дом 26, кв. 33, Саратов, Саратовская область",Саратов,Саратовская область,9078288702,samsonovafekla@stepanov.biz,Не активен
78,Вяткина О.Т.,ж,1969-01-08,"Ильича, дом 70, кв. 103, Нижний Тагил, Свердловская область",Нижний Тагил,Свердловская область,9517312837,averjanseliverstov@yandex.ru,Активен
79,Михалев В.А.,ж,1968-01-08,"Есенина Ул., дом 4, кв. 26, Прокопьевск, Кемеровская область",Прокопьевск,Кемеровская область,9942680956,gremislav_1983@mail.ru,Активен
80,Егорова Д.И.,ж,1987-08-31,"Ново-Киевская Ул., дом 1, кв. 4, Смоленск, Смоленская область",Смоленск,Смоленская область,9719652171,foti_1989@rao.com,Активен
81,Фуртунэ В.А.,ж,1978-07-02,"Флотская, дом 4, кв. 31, Магадан, Магаданская область",Магадан,Магаданская область,9833164716,emilgusev@rambler.ru,Активен
82,Подойницына В.А.,ж,1967-02-13,"Дикопольцева Ул., дом 72, кв. 6, Хабаровск, Хабаровский край",Хабаровск,Хабаровский край,9006605523,ivan85@yahoo.com,Активен
83,Лотова Н.Ю.,ж,1978-05-10,"Лесосечная Ул., дом 3, кв. 175, Новосибирск, Новосибирская область",Новосибирск,Новосибирская область,9962816740,ermakovaantonina@gruppa.org,Активен
84,Черноголовая П.Л.,ж,1988-01-12,"Ленинградская Ул., дом 12, кв. 249, Череповец, Вологодская область",Череповец,Вологодская область,9575995813,zinovevdobromisl@hotmail.com,Активен
85,Шмакова О.Н.,м,1963-10-22,"Винницкая Ул., дом 19, кв. 77, Москва, Московская область",Москва,Московская область,9907270955,lebedevantip@gmail.com,Активен
86,Мандрик А.В.,м,1994-06-01,"12А Микрорайон, дом 7/А, кв. 87, Ангарск, Иркутская область",Ангарск,Иркутская область,9507195313,foma29@hotmail.com,Активен
87,Анодина Е.Р.,м,1958-07-02,"Восточное Шоссе, дом 48, кв. 1, Хабаровск, Хабаровский край",Хабаровск,Хабаровский край,9539057927,kudrjashovaelizaveta@sahalin.biz,Активен
88,Кувичко А.В.,ж,1981-06-17,"Кулакова Пр., дом 27/2, кв. 134, Ставрополь, Ставропольский край",Ставрополь,Ставропольский край,9733205615,kisaev@yahoo.com,Активен
89,Огнева Л.В.,м,1997-12-16,"Дружинина, дом 62, кв. 30, Нижний Тагил, Свердловская область",Нижний Тагил,Свердловская область,9308497590,jaropolk_1988@gmail.com,Активен
90,Приказчиков Л.Н.,ж,1983-02-07,"Нахимовская, дом 29, кв. 46, Находка, Приморский край",Находка,Приморский край,9244642641,ziminfoma@ip.biz,Активен
91,Телегин В.М.,м,1990-08-27,"Сулимова, Челябинск, Челябинская область",Челябинск,Челябинская область,9096406860,nikolamihalov@ignatev.info,Активен
92,Баринова И.В.,м,1955-02-11,"Совхозная Ул., дом 19, кв. 22, Москва, Московская область",Москва,Московская область,9522501310,makarovjuri@yahoo.com,Не активен
93,Димухаметов Л.И.,ж,1996-04-13,"Бул. Цветочный, дом 17/Г, кв. 23(адрес по комплексу: -//-), Набережные Челны, Республика Татарстан",Набережные Челны,Республика Татарстан,9094382298,savvatarasov@oao.net,Активен
94,Шеин Н.В.,м,1989-08-25,"Народного Ополчения Ул., дом 23/2, кв. 41, Москва, Московская область",Москва,Московская область,9197014047,lapinavgust@hotmail.com,Активен
95,Климович А.К.,м,1967-01-18,"Комсомольская Ул., дом 402, кв. 48, Орёл, Орловская область",Орёл,Орловская область,9750334772,mbespalov@oao.ru,Активен
96,Костюкевич Л.И.,ж,1974-04-15,"Красная, дом 47, Краснодар, Краснодарский край",Краснодар,Краснодарский край,9901076365,galkinafanasi@rambler.ru,Активен
97,Письяуков В.Г.,м,1978-12-31,"Степанищева Ул., дом 11, кв. 22, Липецк, Липецкая область",Липецк,Липецкая область,9494306514,skuzmin@rao.ru,Активен
98,Усова А.Ю.,ж,1989-01-23,"Ипподромная, Воронеж, Воронежская область",Воронеж,Воронежская область,9434836866,foma44@npo.ru,Активен
99,Филатов С.Ю.,м,1985-12-12,"Депутатская, дом 119, кв. 129, Тюмень, Тюменская область",Тюмень,Тюменская область,9006001640,porfiri45@mail.ru,Активен
100,Крылова Л.В.,ж,1978-08-05,"Дубровенка, дом 60, Смоленск, Смоленская область",Смоленск,Смоленская область,9698088596,arhipovluka@oao.info,Активен
101,Трушко В.К.,ж,1963-10-27,"Заводская, дом 17, кв. 8, Находка, Приморский край",Находка,Приморский край,9239832512,konovalovinnokenti@kartli.edu,Активен
102,Храмова О.Н.,ж,1989-06-02,"Шехурдина, дом 64, кв. 63, Саратов, Саратовская область",Саратов,Саратовская область,9268635804,gushchinauljana@ip.com,Активен
103,Зубкова Г.Ф.,м,1981-07-02,"Ковальчук Д. Ул., дом 7, кв. 138, Новосибирск, Новосибирская область",Новосибирск,Новосибирская область,9362666026,bobilevbronislav@ao.biz,Не активен
104,Костин М.В.,ж,1986-04-23,"Приборостроительная Ул., дом 15, кв. 23, Орёл, Орловская область",Орёл,Орловская область,9387338093,wkalinin@ip.com,Активен
105,Гришин С.В.,ж,1980-08-10,"Мамлеева Ул., дом 17, кв. 74, Череповец, Вологодская область",Череповец,Вологодская область,9126530588,mark_2003@hotmail.com,Активен
106,Добрынин П.И.,м,1987-09-04,"Ветлужская Ул., дом 12, кв. 49, Новосибирск, Новосибирская область",Новосибирск,Новосибирская область,9493681491,rusakovmodest@gmail.com,Активен
107,Шариков В.Г.,ж,1965-02-14,"Гагарина 3 Микрорайон, дом 8, кв. 58, Златоуст, Челябинская область",Златоуст,Челябинская область,9358743980,mihalovviktor@gmail.com,Активен
108,Майоров В.Е.,ж,1977-03-17,"Панькова, дом 19, кв. 6, Магнитогорск, Челябинская область",Магнитогорск,Челябинская область,9548415906,kirillovnestor@kozlova.edu,Активен
109,Нурмухаметова Р.О.,ж,1971-05-14,"К Маркса, дом 121/5, кв. 52, Магнитогорск, Челябинская область",Магнитогорск,Челябинская область,9692006946,serafim88@rambler.ru,Активен
110,Иушкина Л.П.,м,1988-01-20,"Дундича О. Ул., дом 21/1, кв. 48, Новосибирск, Новосибирская область",Новосибирск,Новосибирская область,9209209438,nestor_73@rao.biz,Активен
111,Куприянов Ю.М.,м,1973-04-15,"Орджоникидзе, дом 62, кв. 64, Тюмень, Тюменская область",Тюмень,Тюменская область,9360043751,aksenovavera@mail.ru,Активен
112,Манько И.А.,ж,1984-04-08,"Зорге, дом 60/1, Ростов-на-Дону, Ростовская область",Ростов-на-Дону,Ростовская область,9444090502,ponomarevnaum@rao.com,Активен
113,Примов Н.Л.,м,1963-12-23,"Чапаева, дом 53/А, кв. 205, Нижневартовск, Ханты-Мансийский АО",Нижневартовск,Ханты-Мансийский АО,9446251961,fedorovtrifon@ooo.biz,Активен
114,Гусамова С.Г.,м,1970-06-28,"Камая Профессора Ул., дом 7, кв. 21, Казань, Республика Татарстан",Казань,Республика Татарстан,9277671751,ladislavjakushev@ip.info,Активен
115,Новонукутский П.О.,м,1990-01-29,"Новонукутск / Ленина Ул., дом 23, Новонукутский, Иркутская область",Новонукутский,Иркутская область,9147102142,ljubomir_2003@hotmail.com,Активен
116,Нестеров А.Н.,ж,1968-12-19,"Одесская, дом 38, кв. 24, Тюмень, Тюменская область",Тюмень,Тюменская область,9956980881,belovaolga@hotmail.com,Активен
117,Шихалев В.А.,м,1990-08-21,"Спортивная, дом 16, кв. 13, Находка, Приморский край",Находка,Приморский край,9812023110,anisimaksenov@noskova.com,Активен
118,Багрец С.А.,м,1967-07-13,"Байкальская Ул., дом 298, кв. 26, Иркутск, Иркутская область",Иркутск,Иркутская область,9485740774,jakushevfoti@yahoo.com,Активен
119,Григорьева Л.А.,ж,1978-10-16,"Автозаводская Ул., дом 33, кв. 19, Смоленск, Смоленская область",Смоленск,Смоленская область,9325716009,zahar_83@yandex.ru,Активен
120,Козлов Н.И.,м,1962-05-21,"Ул. Усманова, дом 71, кв. 123(адрес по комплексу: 42/21-123), Набережные Челны, Республика Татарстан",Набережные Челны,Республика Татарстан,9723537654,mitofan44@rao.org,Активен
121,Михайлова Е.Н.,ж,1985-03-25,"Южная Ул., дом 37/А, Ставрополь, Ставропольский край",Ставрополь,Ставропольский край,9487011123,molchanovostromir@yandex.ru,Активен
122,Жукова Т.А.,м,1997-06-25,"Каспийская, дом 25/А, Прокопьевск, Кемеровская область",Прокопьевск,Кемеровская область,9958423182,valentin2013@oao.org,Не активен
123,Малышкина М.И.,м,1971-04-17,"Депутатская, дом 95, кв. 118, Тюмень, Тюменская область",Тюмень,Тюменская область,9474998209,molchanovfeofan@ip.biz,Активен
124,Кузнецов Я.В.,м,1962-10-09,"П.аксарка, Приуральский Р-Н, У, дом 5, кв. 10, Тюмень, Тюменская область",Тюмень,Тюменская область,9296812183,velimir_08@mail.ru,Активен
125,Петров В.П.,ж,1996-08-23,"Московский Пр, дом 38/2, кв. 29, Чебоксары, Республика Чувашия",Чебоксары,Республика Чувашия,9594238253,aleksandra_62@rambler.ru,Активен
126,Евдокимов Н.И.,ж,1977-08-07,"Находкинский Проспект, дом 114, кв. 36, Находка, Приморский край",Находка,Приморский край,9619051383,dementevapelageja@kuzmina.com,Активен
127,Киреев В.И.,м,1978-05-24,"Айвазовского, дом 75, кв. 36, Краснодар, Краснодарский край",Краснодар,Краснодарский край,9941302225,cheslav1994@rao.ru,Активен
128,Королева В.Г.,ж,1973-04-27,"Попова, дом 6, Нальчик, Республика Кабардино-Балкария",Нальчик,Республика Кабардино-Балкария,9470514692,ilarion38@zao.biz,Активен
129,Филиал И.Р.,м,1977-12-13,"Индустриальная Ул., дом 4, Шелехов, Иркутская область",Шелехов,Иркутская область,9643967225,kapustinpotap@naumova.ru,Активен
130,Кучеренко А.С.,ж,1979-07-20,"6 Микрорайон, дом 3, кв. 275, Курган, Курганская область",Курган,Курганская область,9171498980,rmjasnikova@hotmail.com,Активен
131,Андреева Г.П.,м,1975-01-10,"Кузнецовская Ул., дом 4/39, кв. 32, Санкт-Петербург, Ленинградская область",Санкт-Петербург,Ленинградская область,9790958623,elizar_24@zao.net,Активен
132,Солохин В.П.,ж,1977-02-08,"Дружбы Ул., дом 14, кв. 70, Волжский, Волгоградская область",Волжский,Волгоградская область,9947478043,anisim30@gmail.com,Активен
133,Рукин М.И.,ж,1974-12-12,"Ленинградская Ул., дом 10, кв. 22, Липецк, Липецкая область",Липецк,Липецкая область,9359673424,braginermola@rao.biz,Активен
134,Карпов Л.С.,м,1981-08-03,"Знаменка, Гагарина Ул., дом 4, кв. 34, Орёл, Орловская область",Орёл,Орловская область,9344675515,vnaumova@oao.org,Активен
135,Радченко В.П.,м,1990-07-27,"Кловская Ул., дом 9, кв. 1, Смоленск, Смоленская область",Смоленск,Смоленская область,9621877988,dselezneva@oao.info,Активен
136,Налетова Н.П.,ж,1982-12-01,"Гранитная Ул., дом 62/39, кв. 26, Санкт-Петербург, Ленинградская область",Санкт-Петербург,Ленинградская область,9906202708,varvara_21@ooo.ru,Активен
137,Фомина С.М.,ж,1992-12-11,"Строителей Мкрн, дом 10, кв. 2, Саянск, Иркутская область",Саянск,Иркутская область,9397935305,komissarovpahom@rao.net,Активен
138,Харитонов В.Ф.,ж,1957-10-28,"Новосибирская Ул., дом 4, кв. 201, Москва, Московская область",Москва,Московская область,9515796866,safonovgorde@yandex.ru,Активен
139,Воронина В.М.,м,1971-04-08,"Черемшанская Ул., дом 137, кв. 85, Самара, Самарская область",Самара,Самарская область,9688496127,sisoevaakulina@ip.com,Не активен
140,Кузнецова Л.И.,м,1973-09-19,"Кочубея Ул., дом 11, кв. 19, Новосибирск, Новосибирская область",Новосибирск,Новосибирская область,9130622664,ovishnjakov@hotmail.com,Не активен
141,Матусова Т.Н.,м,1980-02-09,"Фатьянова Ул., дом 25, кв. 66, Владимир, Владимирская область",Владимир,Владимирская область,9359129064,bobilevmechislav@rambler.ru,Активен
142,Ефимочкина М.Л.,м,1975-09-20,"Гагарина 3 Микрорайон, дом 18, кв. 43, Златоуст, Челябинская область",Златоуст,Челябинская область,9031735137,elise_07@rao.com,Активен
143,Брусенцев А.Т.,м,1970-09-14,"Платановый Бульвар, дом 19/1, кв. 75, Краснодар, Краснодарский край",Краснодар,Краснодарский край,9640451661,haritonovpotap@general.org,Активен
144,Душин Н.Н.,ж,1973-09-21,"Гамарника Ул., дом 39, кв. 61, Хабаровск, Хабаровский край",Хабаровск,Хабаровский край,9903369061,ladislav43@oao.edu,Активен
145,Шиба О.Н.,м,1961-03-04,"Гагарина, дом 50, кв. 117, Челябинск, Челябинская область",Челябинск,Челябинская область,9983641785,tgolubeva@gmail.com,Активен
146,Бучин А.Л.,ж,1988-07-31,"Пр.ленинградски, дом 44, кв. 4, Нижний Тагил, Свердловская область",Нижний Тагил,Свердловская область,9794390652,sharapovsofon@rao.biz,Активен
147,Донских С.Б.,ж,1968-01-17,"Хользунова Ул., дом 42, кв. 51, Волгоград, Волгоградская область",Волгоград,Волгоградская область,9258560413,kasjansergeev@yandex.ru,Активен
148,Чурсина И.Б.,ж,1977-08-06,"Ул Волошиной, дом 20, кв. 81, Кемерово, Кемеровская область",Кемерово,Кемеровская область,9727367802,ermilkuznetsov@lavrenteva.net,Активен
149,Иванова З.М.,ж,1989-07-29,"6 Микрорайон, дом 15, кв. 220, Курган, Курганская область",Курган,Курганская область,9273611597,apollon_64@rambler.ru,Активен
